"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,71 years,43030,44528,43712,43571,44488,43887,43606,41226,41493,41265,42262,40599,46683,44951,42023,42953,42719,41476,41000,39763,40545,39035,39693,39071,39363,39231,40811,41610,43301,44762,46321,46545
 , ,72 years,39981,41439,42872,42140,42076,42901,42431,42065,39773,40099,39854,40707,39198,45032,43339,40548,41403,41224,40110,39662,38529,39249,37813,38491,37898,38219,38193,39733,40495,42201,43731,45251
 , ,73 years,37756,38345,39809,41278,40517,40492,41225,40838,40481,38309,38563,38342,39184,37719,43267,41766,39001,39862,39708,38722,38234,37177,37919,36513,37129,36696,37057,37029,38580,39374,41087,42517
 , ,74 years,35452,36106,36693,38063,39506,38852,38744,39537,39238,38879,36824,36985,36755,37595,36086,41477,40021,37405,38242,38155,37260,36781,35779,36518,35225,35810,35430,35799,35880,37421,38194,39807
 , ,75 years,33453,33744,34425,35017,36256,37660,37064,36987,37828,37497,37210,35202,35329,35136,35920,34468,39578,38258,35824,36543,36566,35747,35277,34323,35056,33910,34380,34088,34546,34688,36166,36966
 , ,76 years,30864,31773,32021,32640,33197,34435,35786,35284,35185,35924,35678,35382,33480,33654,33267,34165,32724,37651,36460,34119,34846,34971,34186,33735,32855,33596,32576,32954,32755,33237,33378,34877
 , ,77 years,29181,29059,29911,30255,30840,31333,32622,33795,33410,33339,33995,33691,33547,31738,31804,31448,32312,31003,35731,34631,32387,33065,33270,32499,32151,31384,32150,31127,31499,31351,31868,32086
 , ,78 years,26701,27363,27176,28036,28414,28995,29392,30635,31856,31469,31385,32036,31764,31621,29855,30026,29627,30371,29217,33782,32732,30661,31249,31481,30805,30519,29800,30585,29739,29967,29831,30353
 , ,79 years,24061,24840,25505,25369,26232,26552,27116,27442,28699,29816,29456,29328,30054,29789,29538,27999,28080,27748,28591,27485,31735,30772,28769,29425,29694,29163,28898,28163,28957,28240,28397,28351
 , ,80 years,21490,22204,22989,23641,23472,24369,24648,25158,25557,26660,27749,27391,27377,27982,27727,27506,26020,26183,25850,26674,25647,29689,28765,26911,27577,27873,27477,27217,26518,27327,26610,26778
