"Population 1. January by marital status, sex, age and time"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total"
" ","Total"
" "," ","90 years",9633,9051,9528,9740,9810,9981,9763,9939,9717,9971,10048,10172
" "," ","91 years",8151,8130,7614,8061,8172,8262,8401,8117,8368,8144,8352,8337
" "," ","92 years",5656,6740,6650,6248,6658,6791,6773,6882,6701,6919,6699,6791
" "," ","93 years",4509,4552,5430,5422,4914,5400,5471,5446,5605,5392,5573,5371
" "," ","94 years",3422,3596,3572,4245,4236,3816,4183,4277,4323,4405,4123,4305
" "," ","95 years",2681,2616,2739,2824,3268,3273,2931,3159,3265,3309,3303,3103
" "," ","96 years",1879,2001,1939,2052,2092,2446,2425,2165,2322,2480,2432,2383
" "," ","97 years",1403,1354,1486,1418,1504,1531,1761,1708,1578,1730,1792,1720
" "," ","98 years",882,982,932,1083,1003,1062,1117,1195,1193,1101,1203,1235
" "," ","99 years and over",1619,1610,1635,1680,1807,1814,1815,1855,1956,2007,1940,1942
" ","Men"
" "," ","0 years",30184,29991,28751,29375,30049,31971,31624,31754,31649,31303,32655,30271
" "," ","1 year",32854,30402,30273,29064,29750,30364,32226,31799,31880,31758,31464,33003
" "," ","2 years",32813,33032,30596,30485,29459,30069,30524,32318,31833,31909,31839,31834
" "," ","3 years",34207,32921,33151,30753,30834,29675,30231,30563,32347,31852,31991,32175
" "," ","4 years",33582,34325,33021,33324,31038,31101,29754,30260,30577,32402,31908,32347
" "," ","5 years",34137,33629,34421,33171,33643,31315,31183,29828,30308,30627,32434,32299
" "," ","6 years",33419,34197,33742,34598,33495,33846,31402,31250,29872,30350,30679,32844
" "," ","7 years",33577,33446,34266,33877,34918,33738,33940,31439,31307,29944,30391,31121
" "," ","8 years",33649,33628,33567,34436,34180,35147,33872,34033,31510,31371,30018,30841
" "," ","9 years",33447,33695,33739,33709,34688,34430,35294,33963,34130,31587,31453,30409
" "," ","10 years",33741,33498,33751,33886,33963,34893,34533,35361,34062,34216,31685,31897
" "," ","11 years",34791,33797,33562,33909,34105,34129,35009,34617,35382,34186,34286,32088
" "," ","12 years",34400,34841,33874,33665,34130,34281,34244,35124,34682,35467,34281,34673
" "," ","13 years",34750,34455,34897,33998,33870,34292,34391,34310,35201,34786,35540,34701
" "," ","14 years",35586,34863,34544,35052,34227,34066,34394,34491,34417,35291,34888,35935
" "," ","15 years",35876,35710,34988,34743,35333,34489,34265,34562,34643,34575,35416,35327
" "," ","16 years",37383,36099,35966,35305,35107,35704,34837,34497,34775,34860,34810,35929
" "," ","17 years",37431,37455,36175,36085,35572,35408,35837,34823,34560,34828,34970,35172
" "," ","18 years",36329,37572,37683,36433,36543,35960,35665,36072,35025,34778,35114,35569
" "," ","19 years",37246,36981,38218,38523,37413,37428,36675,36320,36640,35562,35532,35704
" "," ","20 years",36083,37928,37627,38979,39564,38239,38176,37348,36827,37125,36356,36237
" "," ","21 years",36585,36674,38578,38246,40044,40279,38974,38759,37812,37155,37944,37192
" "," ","22 years",35546,36904,37136,39039,39139,40709,40766,39456,39044,38132,38063,38822
" "," ","23 years",34880,36187,37492,37800,40081,40061,41381,41330,39767,39420,39000,38921
" "," ","24 years",33727,35357,36762,38170,38770,40846,40642,41754,41504,40037,40166,39795
" "," ","25 years",33477,34078,35815,37229,39081,39395,41297,40863,41928,41600,40600,40878
" "," ","26 years",32491,33753,34438,36238,37992,39611,39685,41542,40937,41871,42013,41160
" "," ","27 years",31338,32718,34085,34884,37034,38426,39988,39898,41554,40772,42131,42554
" "," ","28 years",30566,31548,33010,34479,35678,37465,38737,40156,39904,41395,41036,42703
" "," ","29 years",31555,30650,31851,33331,35087,36085,37639,38972,40085,39766,41675,41515
" "," ","30 years",31113,31684,30923,32308,33978,35526,36313,37768,38816,39979,40064,42180
" "," ","31 years",33014,31250,31985,31384,32883,34270,35720,36357,37747,38689,40196,40591
" "," ","32 years",33644,33162,31534,32363,31955,33238,34477,35744,36217,37703,38877,40692
" "," ","33 years",34726,33751,33304,31864,32842,32241,33344,34553,35612,36182,38047,39440
" "," ","34 years",34541,34842,34016,33607,32279,33032,32373,33424,34443,35643,36515,38548
" "," ","35 years",36089,34598,35012,34313,34043,32517,33208,32535,33311,34428,35919,36996
" "," ","36 years",38716,36142,34728,35237,34660,34260,32657,33355,32379,33315,34639,36378
" "," ","37 years",38261,38717,36254,34979,35528,34860,34281,32680,33255,32415,33517,35102
" "," ","38 years",38386,38288,38805,36509,35273,35704,34909,34418,32673,33227,32556,33957
" "," ","39 years",39936,38383,38402,39003,36820,35341,35800,35070,34359,32593,33449,32978
" "," ","40 years",39931,39925,38454,38556,39242,36920,35395,35825,34974,34312,32797,33769
" "," ","41 years",38143,39916,39971,38565,38774,39358,36982,35467,35753,34949,34510,33080
" "," ","42 years",38194,38172,39928,40171,38729,38916,39430,36995,35440,35748,35028,34850
" "," ","43 years",39713,38172,38164,40011,40334,38743,38935,39463,36910,35445,35863,35398
" "," ","44 years",42302,39665,38134,38187,40190,40394,38777,38963,39408,36918,35542,36146
" "," ","45 years",45482,42267,39667,38193,38310,40220,40415,38790,38932,39405,37032,35752
" "," ","46 years",43900,45376,42210,39701,38288,38352,40222,40416,38709,38900,39518,37203
" "," ","47 years",43053,43814,45307,42190,39766,38325,38291,40196,40308,38645,38967,39642
" "," ","48 years",41898,42961,43704,45251,42165,39766,38293,38211,40095,40302,38746,39142
" "," ","49 years",39559,41768,42827,43687,45296,42144,39705,38225,38101,40009,40310,38813
" "," ","50 years",38316,39383,41615,42752,43661,45246,42104,39650,38111,38047,40091,40407
" "," ","51 years",38266,38174,39247,41509,42697,43561,45140,42011,39539,38024,38034,40078
" "," ","52 years",36475,38105,38022,39126,41366,42595,43458,45003,41893,39412,38051,38123
" "," ","53 years",36513,36328,37941,37885,38996,41312,42473,43327,44836,41776,39367,38007
" "," ","54 years",36151,36344,36097,37828,37722,38867,41188,42302,43154,44678,41768,39354
" "," ","55 years",36277,35939,36179,35913,37697,37559,38673,41012,42118,43013,44583,41748
